CodFrota;descricao_especialidade;descricao_especialidadeAgrup;descricao_frota
60251;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS QOU-8C22
60252;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS QPN-5124
60253;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS PQZ-1J33
60254;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS PQZ-1B13
60255;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS QWX-2J53
60256;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS RBR-5128
60257;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 150 BROS PFV-6668
60258;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS RNO-8F75
60259;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS RNV-5F17
60260;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS AAA-9999
60261;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS RNV6J72
60262;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA YAMAHA XTZ 150S RUE-1I68
60263;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA YAMAHA XTZ 150S RUZ-6B35
60264;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA YAMAHA XTZ 150S RUS-1E27
60265;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA YAMAHA XTZ 150S SHP-1F43
60267;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS SYK-6H57
60268;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA YAMAHA XTZ 150Z HIV-9I15
60269;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA YAMAHA XTZ 150Z HIV-9H60
60270;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA YAMAHA XTZ 150Z HIV-6J84
60271;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA YAMAHA XTZ 150Z HIV-9I36
60272;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA YAMAHA XTZ 150Z HIV-6J76
60273;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA YAMAHA XTZ 150Z HIV-6J77
60274;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA YAMAHA CROSSER Z AAA-9999
60275;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA YAMAHA CROSSER Z AAA-9999
60276;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS TGF-3I27
60400;MOTOCICLETA - QUADRICICLO;MOTOCICLETA;QUADRICICLO HONDA TRX 420 FM AAA-9999
60401;MOTOCICLETA - QUADRICICLO;MOTOCICLETA;QUADRICICLO HONDA TRX 420 AAA-9999
60403;MOTOCICLETA - QUADRICICLO;MOTOCICLETA;QUADRICICLO HONDA TRX 420 AAA-9999
60500;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QUO-2D90
60501;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QUO-2D79
60502;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QUO-2D67
60503;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QUO-2D34
60504;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QUO-2D54
60505;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QXM-3G99
60506;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QXM-3H03
60507;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QXR-8J90
60508;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QXR-9A09
60509;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QXR-9A03
60510;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QXR-8J92
60511;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QXR-8J95
60512;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QXU-9C14
60513;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QXU-9C35
60514;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QXU-9C12
60515;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QXU-9C33
60516;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 QXU-9G59
60517;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 PRO-6H61
