ID;Categoria
63121;REBOQUE CANAVIEIRO
63122;REBOQUE SEMI CANAV.
63300;REBOQUE TRANSBORDO
63301;REBOQUE TRANSBORDO
63302;REBOQUE TRANSBORDO
63303;REBOQUE TRANSBORDO
63304;REBOQUE TRANSBORDO
63305;REBOQUE TRANSBORDO
63306;REBOQUE TRANSBORDO
63307;REBOQUE TRANSBORDO
63308;REBOQUE TRANSBORDO
63309;REBOQUE TRANSBORDO
63310;REBOQUE TRANSBORDO
63311;REBOQUE TRANSBORDO
63312;REBOQUE TRANSBORDO
63313;REBOQUE TRANSBORDO
63314;REBOQUE TRANSBORDO
63315;REBOQUE TRANSBORDO
63316;REBOQUE TRANSBORDO
63317;REBOQUE TRANSBORDO
63318;REBOQUE TRANSBORDO
63319;REBOQUE TRANSBORDO
63320;REBOQUE TRANSBORDO
63321;REBOQUE TRANSBORDO
63322;REBOQUE TRANSBORDO
63323;REBOQUE TRANSBORDO
63324;REBOQUE TRANSBORDO
63325;REBOQUE TRANSBORDO
63326;REBOQUE TRANSBORDO
63327;REBOQUE TRANSBORDO
63328;REBOQUE TRANSBORDO
63329;REBOQUE TRANSBORDO
63330;REBOQUE TRANSBORDO
63331;REBOQUE TRANSBORDO
63332;REBOQUE TRANSBORDO
63333;REBOQUE TRANSBORDO
63334;REBOQUE TRANSBORDO
63335;REBOQUE TRANSBORDO
63336;REBOQUE TRANSBORDO
63337;REBOQUE TRANSBORDO
63338;REBOQUE TRANSBORDO
63339;REBOQUE TRANSBORDO
63340;REBOQUE TRANSBORDO
63341;REBOQUE TRANSBORDO
63342;REBOQUE TRANSBORDO
63343;REBOQUE TRANSBORDO
63344;REBOQUE TRANSBORDO
63345;REBOQUE TRANSBORDO
63346;REBOQUE TRANSBORDO
63347;REBOQUE TRANSBORDO
63348;REBOQUE TRANSBORDO
63349;REBOQUE TRANSBORDO
63350;REBOQUE TRANSBORDO
63351;REBOQUE TRANSBORDO
63352;REBOQUE TRANSBORDO
63353;REBOQUE TRANSBORDO
63354;REBOQUE TRANSBORDO
63355;REBOQUE TRANSBORDO
63356;REBOQUE TRANSBORDO
63357;REBOQUE TRANSBORDO
63358;REBOQUE TRANSBORDO
63359;REBOQUE TRANSBORDO
63360;REBOQUE TRANSBORDO
63361;REBOQUE TRANSBORDO
63362;REBOQUE TRANSBORDO
63363;REBOQUE TRANSBORDO
63364;REBOQUE TRANSBORDO
63365;REBOQUE TRANSBORDO
63366;REBOQUE TRANSBORDO
63367;REBOQUE TRANSBORDO
63368;REBOQUE TRANSBORDO
63369;REBOQUE TRANSBORDO
63370;REBOQUE TRANSBORDO
63371;REBOQUE TRANSBORDO
63372;REBOQUE TRANSBORDO
63373;REBOQUE TRANSBORDO
63374;REBOQUE TRANSBORDO
63375;REBOQUE TRANSBORDO
63376;REBOQUE TRANSBORDO
63377;REBOQUE TRANSBORDO
63378;REBOQUE TRANSBORDO
63379;REBOQUE TRANSBORDO
63380;REBOQUE TRANSBORDO
63381;REBOQUE TRANSBORDO
63382;REBOQUE TRANSBORDO
63383;REBOQUE TRANSBORDO
63384;REBOQUE TRANSBORDO
63385;REBOQUE TRANSBORDO
63386;REBOQUE TRANSBORDO
63387;REBOQUE TRANSBORDO
63388;REBOQUE TRANSBORDO
63389;REBOQUE TRANSBORDO
63600;REBOQUE PRANCHA
63601;SEMI REBOQUE PRANCHA
63650;REBOQUE CANAVIEIRO
63651;REBOQUE OFICINA
63700;TANQUE
63701;SEMI REBOQUE TANQUE
63702;SEMI REBOQUE TANQUE
63703;SEMI REBOQUE TANQUE
63704;REBOQUE TANQUE
63705;REBOQUE TANQUE
63706;REBOQUE TANQUE
63707;SEMI REBOQUE TANQUE
63708;TANQUE
63709;SEMI REBOQUE TANQUE
63710;SEMI REBOQUE TANQUE
63711;SEMI REBOQUE TANQUE
63712;REBOQUE TANQUE
63713;SEMI REBOQUE TANQUE
63714;SEMI REBOQUE TANQUE
63715;SEMI REBOQUE TANQUE
63716;SEMI REBOQUE TANQUE
63717;SEMI REBOQUE TANQUE
63718;REBOQUE TANQUE
63719;REBOQUE TANQUE
63720;REBOQUE TANQUE
63721;SEMI REBOQUE TANQUE
63722;REBOQUE TANQUE
63723;SEMI REBOQUE TANQUE
63724;REBOQUE TANQUE
63725;REBOQUE TANQUE
63726;REBOQUE TANQUE
63727;REBOQUE TANQUE
63728;REBOQUE TANQUE
63729;SEMI REBOQUE TANQUE
63730;REBOQUE TANQUE
63731;REBOQUE TANQUE
63732;REBOQUE TANQUE
63733;REBOQUE TANQUE
63734;REBOQUE TANQUE
63735;REBOQUE TANQUE
63736;SEMI REBOQUE TANQUE
63737;REBOQUE TANQUE
63738;SEMI REBOQUE TANQUE
63739;SEMI REBOQUE TANQUE
63740;SEMI REBOQUE TANQUE
63800;AREA VIVENCIA
63801;AREA VIVENCIA
63802;AREA VIVENCIA
63803;AREA VIVENCIA
63804;AREA VIVENCIA
63805;AREA VIVENCIA
63806;AREA VIVENCIA
63807;AREA VIVENCIA
63808;AREA VIVENCIA
63809;AREA VIVENCIA
63810;REBOQUE TRANSBORDO
63811;REBOQUE TRANSBORDO
63812;REBOQUE TRANSBORDO
63813;AREA VIVENCIA
63814;AREA VIVENCIA
63815;AREA VIVENCIA
63816;AREA VIVENCIA
63900;SEMI REBOQUE CACAMBA
63901;SEMI REBOQUE GRANELEIRO
64000;PA CARREGADEIRA
64002;PA CARREGADEIRA
64003;PA CARREGADEIRA
64100;ESCAVADEIRA
64101;RETROESCAVADEIRA
64200;MOTONIVELADORA
64201;MOTONIVELADORA
64202;MOTONIVELADORA
64300;TRATOR ESTEIRA
64350;ROLO COMPACTADOR
64400;EMPILHADEIRA
64401;EMPILHADEIRA
64402;EMPILHADEIRA
64403;MANIPULADORA
